file,label,confidence
10148A34.jpg,Round,low
00002A02.jpg,Round,high
04934A38.jpg,Round,high
08356A19.jpg,Oval,low
07384A02.jpg,Round,low
07008A66.jpg,Round,high
13096A72.jpg,Oval,low
12420A55.jpg,Square,low
06016A46.jpg,Oval,high
12033A49.jpg,Round,low
12320A54.jpg,Square,low
09230A29.jpg,Square,high
00781A13.jpg,Round,high
13157A74.jpg,Round,low
03730A31.jpg,Oval,high
11469A43.jpg,SKIP,jawline hidden by full beard
00541A09.jpg,Round,high
11694A45.jpg,Oval,low
11541A44.jpg,Round,low
12598A58.jpg,Oval,high
00584A10.jpg,Round,low
05277A40.jpg,Oval,low
00615A11.jpg,SKIP,head rotated off-frontal
05115A39.jpg,Oval,low
09686A31.jpg,Round,high
10344A35.jpg,Oblong,low
09696A31.jpg,Oval,high
02030A25.jpg,Heart,low
08684A24.jpg,Oval,low
11259A41.jpg,Square,high
09297A29.jpg,Round,high
07865A09.jpg,Round,high
07945A11.jpg,Round,low
03684A31.jpg,Round,high
04509A35.jpg,Round,high
09683A31.jpg,SKIP,hand occludes jawline
08492A21.jpg,Oval,low
09054A27.jpg,Oval,high
03861A32.jpg,Round,high
10070A33.jpg,Oval,low
03207A29.jpg,Oval,low
01532A22.jpg,Round,low
10652A36.jpg,Square,high
01583A22.jpg,SKIP,head tilted down and hair occludes contour
08599A23.jpg,Oblong,high
00064A02.jpg,Round,low
08945A27.jpg,Oval,low
04746A37.jpg,Oval,low
05560A42.jpg,Round,low
11722A46.jpg,Square,low
02770A27.jpg,Round,high
02901A28.jpg,Oval,high
09460A30.jpg,Round,high
06123A48.jpg,Oval,high
02917A28.jpg,Round,low
06465A54.jpg,Round,high
11012A39.jpg,Round,low
01101A18.jpg,Oval,low
08712A24.jpg,Square,low
08337A18.jpg,Oval,low
07502A03.jpg,Round,high
03138A29.jpg,Round,low
06716A59.jpg,SKIP,hat occludes forehead and head turned
08033A12.jpg,Oval,low
04206A34.jpg,Oval,high
08953A27.jpg,Round,low
10838A38.jpg,Oval,low
08346A19.jpg,SKIP,head pitched up and turned
03278A29.jpg,Round,low
08656A23.jpg,Oval,low
11243A41.jpg,Oval,high
10706A37.jpg,Oblong,low
06596A56.jpg,Oval,low
00262A05.jpg,Round,low
08775A25.jpg,Oval,low
04435A35.jpg,Round,low
12583A57.jpg,Square,high
09539A30.jpg,Oval,low
02625A27.jpg,Oval,low
04542A35.jpg,Heart,low
01842A24.jpg,Oval,high
10306A34.jpg,Square,low
02891A28.jpg,Oval,low
07701A07.jpg,Round,high
05854A45.jpg,Round,low
12579A57.jpg,Round,low
07617A06.jpg,Round,high
06751A59.jpg,Round,high
09733A32.jpg,Square,high
07424A02.jpg,SKIP,head pitched down
09740A32.jpg,Oval,low
07596A05.jpg,SKIP,head tilted up and turned
03334A29.jpg,Round,low
08239A16.jpg,Oblong,low
03451A30.jpg,Round,low
05627A43.jpg,Heart,low
00025A02.jpg,Round,high
01472A21.jpg,Oval,high
02406A26.jpg,Round,low
12241A53.jpg,SKIP,head rotated and wide grin
10315A34.jpg,Oval,low
01365A20.jpg,Round,low
02582A27.jpg,Heart,low
04854A37.jpg,Round,low
11666A45.jpg,Oblong,low
02318A26.jpg,Heart,high
10373A35.jpg,Round,low
10228A34.jpg,Round,low
11476A43.jpg,Oval,low
10537A36.jpg,Oval,low
09787A32.jpg,Square,high
09165A28.jpg,Oblong,low
10904A38.jpg,Oval,high
10614A36.jpg,Square,low
02867A27.jpg,Oval,high
09316A29.jpg,Square,high
12001A49.jpg,Round,low
03578A31.jpg,Round,low
08249A17.jpg,Round,high
12780A62.jpg,Oval,low
06324A51.jpg,Round,high
11983A49.jpg,Oval,low
03315A29.jpg,Round,low
00073A03.jpg,Round,high
05223A40.jpg,SKIP,wide-open laugh distorts jaw
08578A23.jpg,Oval,low
05107A39.jpg,Oval,low
05837A45.jpg,Square,low
07373A80.jpg,Oblong,low
04738A36.jpg,Oval,high
00804A14.jpg,SKIP,open-mouth laugh distorts jaw
13144A74.jpg,Oblong,low
12130A51.jpg,Square,high
12719A60.jpg,Square,low
04384A34.jpg,Round,low
10038A33.jpg,Oval,high
00038A02.jpg,Round,high
12586A58.jpg,Square,low
07495A03.jpg,Round,high
07250A75.jpg,Round,low
07275A76.jpg,Round,low
09456A30.jpg,Square,low
08258A17.jpg,Oval,high
10901A38.jpg,Oblong,high
05585A42.jpg,Round,high
09244A29.jpg,Oblong,low
