file,label,confidence
05200A40.jpg,Round,high
12777A62.jpg,Square,low
02720A27.jpg,Oval,low
03782A32.jpg,Oblong,high
11425A43.jpg,Oblong,high
08762A25.jpg,Square,low
09845A32.jpg,Round,high
09920A32.jpg,Square,low
08659A23.jpg,Oblong,low
01202A19.jpg,Oval,low
07631A06.jpg,Round,high
10051A33.jpg,Oblong,low
00355A07.jpg,Oval,high
10385A35.jpg,Oblong,high
05258A40.jpg,Oval,high
01783A23.jpg,Heart,low
06512A55.jpg,Round,high
05692A43.jpg,Oval,high
09125A28.jpg,Oblong,low
03863A32.jpg,Round,high
10926A38.jpg,Square,low
07517A04.jpg,SKIP,pose
01559A22.jpg,Round,low
08784A25.jpg,SKIP,pose
06229A49.jpg,Round,low
05453A42.jpg,SKIP,pose
11519A44.jpg,SKIP,pose
00604A10.jpg,Oval,high
08019A12.jpg,Round,high
02256A26.jpg,Oval,high
10469A35.jpg,Round,low
08047A13.jpg,SKIP,pose
01967A24.jpg,Heart,low
05038A39.jpg,Oval,high
09720A32.jpg,SKIP,occlusion
04982A38.jpg,Oval,low
01478A21.jpg,Oval,high
00939A16.jpg,Round,high
03483A30.jpg,Oval,high
01815A23.jpg,Round,low
12247A53.jpg,SKIP,occlusion
08558A22.jpg,Oblong,high
06178A49.jpg,SKIP,pose
06589A56.jpg,Oblong,high
03236A29.jpg,Round,high
13281A79.jpg,SKIP,occlusion
02915A28.jpg,SKIP,occlusion
02056A25.jpg,Oval,low
11424A43.jpg,Round,low
12676A60.jpg,Oblong,high
13257A78.jpg,Round,low
01537A22.jpg,SKIP,pose
06230A49.jpg,SKIP,pose
12855A63.jpg,Oblong,low
09621A31.jpg,Oval,high
09059A27.jpg,Oblong,high
01835A24.jpg,Round,high
09894A32.jpg,Square,low
10179A34.jpg,Oblong,low
02933A28.jpg,Round,high
12749A61.jpg,Oblong,high
06149A48.jpg,Oval,high
00677A12.jpg,Round,high
10284A34.jpg,Oblong,high
10840A38.jpg,Oval,low
13091A72.jpg,SKIP,occlusion
04787A37.jpg,Heart,low
05541A42.jpg,Oval,high
02611A27.jpg,Round,low
06619A56.jpg,Round,high
10750A37.jpg,Oblong,high
05579A42.jpg,Oval,low
04085A33.jpg,Round,low
10508A36.jpg,Round,low
02708A27.jpg,Round,high
12440A56.jpg,SKIP,pose
09854A32.jpg,Oblong,low
06586A56.jpg,Oval,low
10270A34.jpg,Oblong,low
02813A27.jpg,Round,low
01767A23.jpg,Round,low
03050A28.jpg,SKIP,pose
12585A58.jpg,Round,low
09967A33.jpg,Square,high
04601A36.jpg,Oval,high
12821A63.jpg,Square,high
05865A45.jpg,Heart,low
01016A17.jpg,SKIP,pose
05636A43.jpg,Oval,low
13199A76.jpg,Oblong,low
02815A27.jpg,Oval,low
07697A07.jpg,Round,high
10752A37.jpg,Oblong,high
10923A38.jpg,Round,high
00448A08.jpg,Oval,low
06471A54.jpg,SKIP,pose
12360A55.jpg,SKIP,pose
08084A13.jpg,Oblong,low
05172A40.jpg,SKIP,occlusion
06706A58.jpg,Round,high
11619A45.jpg,Square,low
07401A02.jpg,Round,low
01834A24.jpg,Oval,high
08571A22.jpg,Oval,low
04922A38.jpg,Heart,low
12832A63.jpg,Oblong,high
03630A31.jpg,Oval,high
01997A24.jpg,Oval,low
06721A59.jpg,Square,low
02629A27.jpg,Oval,high
07001A66.jpg,Round,high
10922A38.jpg,SKIP,pose
07363A80.jpg,Oblong,low
00825A14.jpg,Round,low
04227A34.jpg,Round,high
12817A63.jpg,Round,high
13153A74.jpg,SKIP,pose
00767A13.jpg,SKIP,expression
05081A39.jpg,Oval,high
12894A65.jpg,Oblong,low
02549A27.jpg,Oval,low
13176A75.jpg,Oblong,low
05243A40.jpg,SKIP,pose
10069A33.jpg,Oval,low
03445A30.jpg,SKIP,pose
06393A52.jpg,Round,low
13229A77.jpg,SKIP,expression
11855A47.jpg,SKIP,pose
08061A13.jpg,Oval,low
03800A32.jpg,Oval,high
05863A45.jpg,Round,low
01909A24.jpg,SKIP,expression
09051A27.jpg,Oval,low
11037A39.jpg,Oblong,high
09886A32.jpg,Round,high
06216A49.jpg,Oval,high
08154A15.jpg,Round,low
04108A33.jpg,Oblong,low
08205A16.jpg,Round,low
01034A17.jpg,Round,high
01795A23.jpg,Round,high
12100A51.jpg,SKIP,pose
12449A56.jpg,Oblong,high
10609A36.jpg,Oblong,low
12116A51.jpg,Square,low
00860A14.jpg,SKIP,expression
04112A33.jpg,Oval,high
05662A43.jpg,Oval,low
00470A08.jpg,Round,low
08421A20.jpg,SKIP,pose
04803A37.jpg,Oblong,low
07535A04.jpg,Round,low
08243A17.jpg,SKIP,pose
06367A52.jpg,Round,low
11020A39.jpg,Oblong,high
09614A31.jpg,Round,high
03424A30.jpg,Heart,low
01579A22.jpg,Round,low
10371A35.jpg,Oblong,low
08635A23.jpg,Oblong,high
11379A42.jpg,Round,high
08251A17.jpg,Oval,low
06942A64.jpg,Round,low
09174A28.jpg,Oblong,low
02179A25.jpg,Oval,high
12284A53.jpg,Round,low
08011A12.jpg,SKIP,pose
04323A34.jpg,Round,high
03058A28.jpg,SKIP,pose
01607A22.jpg,Round,high
02522A26.jpg,Round,high
05912A46.jpg,Oval,low
12024A49.jpg,Oblong,low
07031A66.jpg,SKIP,pose
02253A26.jpg,Heart,low
08751A25.jpg,Oblong,high
12387A55.jpg,Round,low
09781A32.jpg,SKIP,pose
09069A27.jpg,SKIP,pose
02419A26.jpg,Round,high
00090A03.jpg,SKIP,pose
12223A53.jpg,Round,low
12729A61.jpg,Oblong,high
01281A20.jpg,Round,low
04819A37.jpg,Round,low
09375A29.jpg,Oblong,low
12811A63.jpg,Square,low
03070A28.jpg,Oval,low
01074A18.jpg,Heart,low
02947A28.jpg,Oval,low
05380A41.jpg,Round,low
08210A16.jpg,Oblong,low
11400A43.jpg,Round,low
12392A55.jpg,Oblong,low
00779A13.jpg,Oval,low
01476A21.jpg,Round,high
02416A26.jpg,SKIP,pose
12964A67.jpg,Round,low
09311A29.jpg,Round,low
01715A23.jpg,Round,low
11092A40.jpg,Square,low
12584A57.jpg,SKIP,pose
07913A10.jpg,Round,low
12228A53.jpg,SKIP,pose
08812A25.jpg,Oval,low
07629A06.jpg,SKIP,expression
